"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1992-03","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","94.8","","","","1"
"1992-03","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","73.6","","","","1"
"1992-03","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","85.5","","","","1"
"1992-03","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","79.0","","","","1"
"1992-03","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","80.2","","","","1"
"1992-03","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","83.7","","","","1"
"1992-03","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","84.8","","","","1"
"1992-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","83.7","","","","1"
"1992-04","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","83.0","","","","1"
"1992-04","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","87.4","","","","1"
"1992-04","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","87.6","","","","1"
"1992-04","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","94.7","","","","1"
"1992-04","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","73.7","","","","1"
"1992-04","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","86.1","","","","1"
"1992-04","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","78.8","","","","1"
"1992-04","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","80.5","","","","1"
"1992-04","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","83.9","","","","1"
"1992-04","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","84.9","","","","1"
"1992-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","83.9","","","","1"
"1992-05","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","82.8","","","","1"
"1992-05","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","87.6","","","","1"
"1992-05","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","87.7","","","","1"
"1992-05","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","95.5","","","","1"
"1992-05","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","74.0","","","","1"
"1992-05","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","86.2","","","","1"
"1992-05","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","78.9","","","","1"
"1992-05","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","80.9","","","","1"
"1992-05","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","84.1","","","","1"
"1992-05","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","85.2","","","","1"
"1992-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","84.1","","","","1"
"1992-06","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","83.3","","","","1"
"1992-06","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","87.5","","","","1"
"1992-06","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","87.7","","","","1"
"1992-06","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","95.1","","","","1"
"1992-06","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","74.7","","","","1"
"1992-06","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","86.4","","","","1"
"1992-06","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","79.0","","","","1"
"1992-06","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","81.0","","","","1"
"1992-06","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","84.1","","","","1"
"1992-06","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","85.3","","","","1"
"1992-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","84.1","","","","1"
"1992-07","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","83.1","","","","1"
"1992-07","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","87.7","","","","1"
"1992-07","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","87.9","","","","1"
"1992-07","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","95.0","","","","1"
"1992-07","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","75.3","","","","1"
"1992-07","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","87.0","","","","1"
"1992-07","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","79.2","","","","1"
"1992-07","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","81.3","","","","1"
"1992-07","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","84.3","","","","1"
"1992-07","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","85.3","","","","1"
"1992-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","84.2","","","","1"
"1992-08","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","83.5","","","","1"
"1992-08","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","87.9","","","","1"
"1992-08","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","88.1","","","","1"
"1992-08","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","95.7","","","","1"
"1992-08","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","74.5","","","","1"
"1992-08","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","87.3","","","","1"
"1992-08","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","79.2","","","","1"
"1992-08","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","81.4","","","","1"
"1992-08","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","84.4","","","","1"
"1992-08","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","85.4","","","","1"
"1992-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","84.3","","","","1"
"1992-09","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","83.6","","","","1"
"1992-09","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","87.7","","","","1"
"1992-09","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","87.9","","","","1"
"1992-09","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","95.1","","","","1"
"1992-09","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","74.3","","","","1"
"1992-09","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","87.3","","","","1"
"1992-09","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","79.2","","","","1"
"1992-09","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","81.5","","","","1"
"1992-09","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","84.3","","","","1"
"1992-09","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","85.3","","","","1"
"1992-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","84.4","","","","1"
"1992-10","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","83.5","","","","1"
"1992-10","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","88.4","","","","1"
"1992-10","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","87.9","","","","1"
"1992-10","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","95.7","","","","1"
"1992-10","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","74.2","","","","1"
"1992-10","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","87.4","","","","1"
"1992-10","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","79.3","","","","1"
"1992-10","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","81.5","","","","1"
"1992-10","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","84.6","","","","1"
"1992-10","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","85.5","","","","1"
"1992-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","84.5","","","","1"
"1992-11","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","83.6","","","","1"
"1992-11","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","88.6","","","","1"
"1992-11","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","88.2","","","","1"
"1992-11","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","95.1","","","","1"
"1992-11","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","76.2","","","","1"
"1992-11","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","87.6","","","","1"
"1992-11","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","79.7","","","","1"
"1992-11","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","81.6","","","","1"
"1992-11","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","84.7","","","","1"
"1992-11","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","85.5","","","","1"
"1992-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","84.7","","","","1"
"1992-12","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","83.5","","","","1"
"1992-12","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","88.7","","","","1"
"1992-12","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","88.3","","","","1"
"1992-12","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","95.5","","","","1"
"1992-12","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","75.9","","","","1"
"1992-12","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","87.7","","","","1"
"1992-12","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","79.8","","","","1"
"1992-12","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","81.7","","","","1"
"1992-12","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","84.7","","","","1"
"1992-12","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","85.7","","","","1"
"1993-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","84.9","","","","1"
"1993-01","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","83.8","","","","1"
"1993-01","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","88.9","","","","1"
"1993-01","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","88.3","","","","1"
"1993-01","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","95.9","","","","1"
"1993-01","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","76.2","","","","1"
"1993-01","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","87.9","","","","1"
"1993-01","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","80.2","","","","1"
"1993-01","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","81.8","","","","1"
"1993-01","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","85.1","","","","1"
"1993-01","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","86.0","","","","1"
"1993-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","85.2","","","","1"
"1993-02","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","84.2","","","","1"
"1993-02","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","88.9","","","","1"
"1993-02","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","88.3","","","","1"
"1993-02","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","95.4","","","","1"
"1993-02","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","76.2","","","","1"
"1993-02","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","88.1","","","","1"
"1993-02","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","80.3","","","","1"
"1993-02","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","81.8","","","","1"
"1993-02","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","85.4","","","","1"
"1993-02","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","86.3","","","","1"
"1993-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","85.2","","","","1"
"1993-03","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","84.2","","","","1"
"1993-03","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","88.9","","","","1"
"1993-03","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","88.0","","","","1"
"1993-03","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","95.6","","","","1"
"1993-03","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","76.2","","","","1"
"1993-03","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","88.3","","","","1"
"1993-03","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","80.3","","","","1"
"1993-03","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","81.9","","","","1"
"1993-03","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","85.4","","","","1"
"1993-03","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","86.5","","","","1"
"1993-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","85.3","","","","1"
"1993-04","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","83.9","","","","1"
"1993-04","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","89.0","","","","1"
"1993-04","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","88.5","","","","1"
"1993-04","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","95.8","","","","1"
"1993-04","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","75.9","","","","1"
"1993-04","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","88.4","","","","1"
"1993-04","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","80.8","","","","1"
"1993-04","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","82.1","","","","1"
"1993-04","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","85.5","","","","1"
"1993-04","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","86.6","","","","1"
"1993-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","85.4","","","","1"
"1993-05","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","84.7","","","","1"
"1993-05","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","88.9","","","","1"
"1993-05","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","88.6","","","","1"
"1993-05","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","95.8","","","","1"
"1993-05","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","75.9","","","","1"
"1993-05","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","88.8","","","","1"
"1993-05","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","80.7","","","","1"
"1993-05","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","82.1","","","","1"
"1993-05","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","85.6","","","","1"
"1993-05","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","86.6","","","","1"
"1993-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","85.4","","","","1"
"1993-06","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","84.5","","","","1"
"1993-06","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","88.9","","","","1"
"1993-06","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","88.7","","","","1"
"1993-06","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","96.4","","","","1"
"1993-06","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","76.1","","","","1"
"1993-06","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","88.9","","","","1"
"1993-06","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","81.0","","","","1"
"1993-06","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","81.9","","","","1"
"1993-06","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","85.6","","","","1"
"1993-06","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","86.6","","","","1"
"1993-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","85.5","","","","1"
"1993-07","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","84.5","","","","1"
"1993-07","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","88.9","","","","1"
"1993-07","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","88.8","","","","1"
"1993-07","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","96.4","","","","1"
"1993-07","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","76.8","","","","1"
"1993-07","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","88.9","","","","1"
"1993-07","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","80.9","","","","1"
"1993-07","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","82.3","","","","1"
"1993-07","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","85.7","","","","1"
"1993-07","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","86.8","","","","1"
"1993-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","85.7","","","","1"
"1993-08","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","84.6","","","","1"
"1993-08","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","89.0","","","","1"
"1993-08","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","88.8","","","","1"
"1993-08","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","96.0","","","","1"
"1993-08","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","76.8","","","","1"
"1993-08","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","89.2","","","","1"
"1993-08","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","81.1","","","","1"
"1993-08","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","82.6","","","","1"
"1993-08","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","85.8","","","","1"
"1993-08","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","86.9","","","","1"
"1993-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","85.8","","","","1"
"1993-09","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","84.7","","","","1"
"1993-09","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","89.0","","","","1"
"1993-09","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","89.0","","","","1"
"1993-09","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","96.1","","","","1"
"1993-09","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","76.9","","","","1"
"1993-09","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","89.4","","","","1"
"1993-09","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","81.3","","","","1"
"1993-09","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","82.7","","","","1"
"1993-09","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","86.0","","","","1"
"1993-09","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","87.1","","","","1"
"1993-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","86.0","","","","1"
"1993-10","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","84.8","","","","1"
"1993-10","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","89.4","","","","1"
"1993-10","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","89.3","","","","1"
"1993-10","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","96.0","","","","1"
"1993-10","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","76.8","","","","1"
"1993-10","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","89.7","","","","1"
"1993-10","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","81.7","","","","1"
"1993-10","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","82.6","","","","1"
"1993-10","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","86.2","","","","1"
"1993-10","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","87.2","","","","1"
"1993-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","86.1","","","","1"
"1993-11","Canada","2016A000011124","Food","2002=100","17","units","0","v41690915","1.2","84.9","","","","1"
"1993-11","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","89.5","","","","1"
"1993-11","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","89.2","","","","1"
