TERMS AND CONDITIONS,,,,,,,
https://www.bankofcanada.ca/terms/,,,,,,,
,,,,,,,
NAME,,,,,,,
Wages and Costs,,,,,,,
,,,,,,,
DESCRIPTION,,,,,,,
" Year-over-year percentage change, monthly data",,,,,,,
,,,,,,,
SERIES,,,,,,,
id,label,description,,,,,
2/1/1999,1.9,64.5016,1.8,1.5,-9,-15.1,-5.7
3/1/1999,2.3,64.6917,2.1,0.7,-5.4,-5.4,-5.4
4/1/1999,1.8,64.581,2,0.5,-3.5,2.8,-6.8
5/1/1999,2.1,64.8529,2.2,1.4,3.6,12.7,-1.1
6/1/1999,2.1,65.115,2.1,1.1,9.4,22.2,3.4
7/1/1999,2.4,65.2664,2.8,1.4,13,25.4,6.8
8/1/1999,2.9,65.5777,3.3,0.7,15.4,42.9,3.3
9/1/1999,2.8,65.5508,2.7,1.4,20.8,55.6,5.4
10/1/1999,2.8,65.7383,2.7,0.8,17.8,42.9,5.7
11/1/1999,2.8,65.911,2.8,0.7,26.2,62.6,9.9
12/1/1999,2.9,66.0509,3.1,2.3,27,61.3,11.8
1/1/2000,3,66.2261,3.3,1.6,27.5,65.7,10.1
2/1/2000,2.7,66.2131,2.9,0.5,35.4,90.4,10.7
3/1/2000,2.6,66.3795,2.7,1.6,33.2,79.5,10.6
4/1/2000,3.4,66.7832,3.5,1.9,25.3,56.6,8.9
5/1/2000,3,66.8134,2.9,2,25.1,65.1,3
6/1/2000,2.8,66.9234,2.7,2,30,87,-0.3
7/1/2000,2.8,67.0631,2.9,2.7,21,64.3,-3.5
8/1/2000,2.6,67.3046,2.8,3,22.8,64.9,-3.1
9/1/2000,3,67.5269,3.4,1.9,24.5,64.3,-2.6
10/1/2000,2.9,67.6751,3.3,2,25.1,69.8,-3.7
11/1/2000,2.8,67.7475,3,1.9,20.9,63.5,-7.8
12/1/2000,2.8,67.9076,2.9,0.2,29.8,93.8,-7.9
1/1/2001,2.8,68.1014,2.8,0.8,21.2,77.3,-11.8
2/1/2001,3.3,68.4201,3.5,0.4,5.3,33.1,-12.8
3/1/2001,3.4,68.6168,3.7,-0.1,1.7,18.9,-9.8
4/1/2001,3.3,68.9908,3.5,-0.2,6.2,24.2,-5.8
5/1/2001,3.6,69.2234,4.2,-0.8,1.4,-1.7,5.6
6/1/2001,3.3,69.1417,3.9,0.7,-9.4,-20.6,3
7/1/2001,3.3,69.2691,3.4,0.2,-13.3,-24.7,-0.5
8/1/2001,3.1,69.3933,2.9,1.1,-14.2,-30.7,4.8
9/1/2001,3,69.5681,2.8,2.1,-26,-47.5,1.3
10/1/2001,3,69.7208,2.8,2,-28.3,-47.6,-4.4
11/1/2001,3.2,69.8844,3.1,1.7,-33.5,-55.1,-4.9
12/1/2001,3.4,70.1988,3.4,2.6,-35.8,-58.7,-4.6
1/1/2002,3.2,70.2861,3.2,2.6,-33,-57.3,-0.1
2/1/2002,2.8,70.3367,3,3.2,-24,-45.7,2.4
3/1/2002,2.8,70.5082,3.1,4.1,-13.4,-27.9,2.4
4/1/2002,2.3,70.5843,2.6,4.7,-12.9,-21.5,-3.9
5/1/2002,2.2,70.7245,2.2,4.5,-12.5,-11.7,-12.7
6/1/2002,2.6,70.9297,2.5,2.5,-10.5,-10,-10.6
7/1/2002,2.4,70.9439,2.5,3.1,-2.7,1,-5.6
8/1/2002,2.5,71.1574,2.6,1.6,-2.8,6.6,-9.9
9/1/2002,2.5,71.2931,2.7,2.1,9.9,37.8,-9.6
10/1/2002,2.4,71.4005,2.5,2.4,18.7,47.5,-1.5
11/1/2002,2.3,71.5033,2.3,3.1,19.7,50.5,-1.9
12/1/2002,1.9,71.5073,1.8,3.3,26.8,67.9,-0.3
1/1/2003,1.8,71.5336,2,1.5,35,92.6,-1.5
2/1/2003,2.2,71.8746,2.1,2.7,47.3,126,-0.8
3/1/2003,2,71.9113,1.5,2.1,22.1,58.8,-4
4/1/2003,1.9,71.9575,1.6,1.8,11.9,26.2,1.3
5/1/2003,2.2,72.2827,2.1,2,14.8,29.8,3.3
6/1/2003,1.8,72.1891,1.4,3.2,23.8,43.9,8.9
7/1/2003,2.1,72.4383,2.2,2.1,18.4,34.6,7.1
8/1/2003,2,72.6098,2.4,3.2,20.3,30.2,13.6
9/1/2003,2.2,72.8448,2.6,2.6,14,10.1,20.7
10/1/2003,2.2,72.9448,2.8,2.4,11.7,8.6,16.7
11/1/2003,2.2,73.0601,2.4,2.6,16.3,14.8,20.3
12/1/2003,2.6,73.3404,2.9,2.1,18.8,18.5,19
1/1/2004,2.7,73.4447,2.8,3.6,14.9,8.1,22.7
2/1/2004,2.5,73.6362,2.7,2.1,1.5,-15.5,24.6
3/1/2004,2.3,73.5869,2.8,2.2,13.1,1.2,28.3
4/1/2004,2.5,73.7381,3,2.2,23.7,19.4,29.1
5/1/2004,2,73.7274,2.7,3.6,26.6,25.1,28.3
6/1/2004,2.3,73.8736,3.3,1.9,19.3,16.4,22.9
7/1/2004,2.2,73.999,2.4,2.4,25.4,26.1,24.7
8/1/2004,1.9,73.9861,2,2.1,24.8,26.7,22.8
9/1/2004,1.7,74.0641,1.8,1.9,26.4,35.7,16.6
10/1/2004,1.7,74.1789,1.9,2.1,35.9,56.5,15
11/1/2004,1.7,74.3323,2.4,2.1,30.2,46.6,13.2
12/1/2004,1.5,74.4545,2.3,2.7,18,21.5,13.8
1/1/2005,1.8,74.7844,2.8,3.4,16.2,20.6,9.9
2/1/2005,1.7,74.9195,2.5,4.5,19.1,28.2,8.3
3/1/2005,2.1,75.1612,3,3.6,26.2,40.4,8.7
4/1/2005,2.2,75.3248,2.9,3.7,22,37.8,3
5/1/2005,1.9,75.1221,2.3,3.1,8.7,15.5,-0.6
6/1/2005,2.2,75.4949,2.7,4.4,18,32.6,-0.5
7/1/2005,2,75.4994,3.1,3.7,20,37.9,-2.5
8/1/2005,2.4,75.7478,3.5,4.2,29.4,58.9,-4.9
9/1/2005,2.7,76.0366,3.8,5.6,45.3,86.7,-0.5
10/1/2005,2.8,76.2528,3.8,4.8,34.5,57.5,2.6
11/1/2005,3,76.5611,3.9,3.9,26.9,42.8,4.3
12/1/2005,3,76.6709,3.7,2.9,38.3,63.2,6.3
1/1/2006,2.8,76.8823,4.2,2.8,27.6,41.5,8.8
2/1/2006,2.8,77.0504,4.8,2.1,19.1,28.1,6.3
3/1/2006,2.9,77.3419,5.3,2.4,8.3,11,3.9
4/1/2006,2.5,77.2417,5.7,2.5,16.1,18.7,11.9
5/1/2006,3.2,77.493,6,1.9,22.3,23.1,20.3
6/1/2006,2.8,77.6209,5.6,1.9,12.7,10.2,16
7/1/2006,3.2,77.9482,6,2.8,13.1,7.7,21.5
8/1/2006,3.1,78.1048,6.2,3,6.2,-3.1,21.7
9/1/2006,2.7,78.1023,5.8,1.9,-15.5,-32.8,18.7
10/1/2006,2.7,78.344,6.3,2.9,-15.1,-32.5,19.6
11/1/2006,2.9,78.7727,5.9,2.8,-0.9,-11.6,17.2
12/1/2006,2.6,78.6562,5.6,4,-8.7,-22.1,15.3
1/1/2007,2.5,78.8382,4.5,4.2,-8.5,-20.3,11.8
2/1/2007,2.7,79.1129,4.2,3.9,4.2,-1.6,13.6
3/1/2007,2.4,79.2359,3.6,5.7,4.6,-1.7,14.7
4/1/2007,3,79.5933,3.3,5.1,2.8,-3.2,12.7
5/1/2007,3.3,80.0825,4.1,5.8,3.9,1,8.6
6/1/2007,3.7,80.4991,4.3,6.2,6.4,3.7,11
7/1/2007,3.8,80.8847,4.3,6.3,2.3,0.3,5.8
8/1/2007,4,81.2427,4.2,4.9,-2.8,-6.1,2.8
9/1/2007,4.1,81.3375,4.7,5.5,14.1,22.9,3.2
10/1/2007,3.9,81.4294,4.1,5,19.8,32.3,4.7
11/1/2007,3.4,81.4496,4,5.9,18,29.7,4.4
12/1/2007,3.7,81.5495,4.1,4.4,16.2,29.1,1
1/1/2008,3.4,81.4859,4.3,4,29.3,51.7,4.4
2/1/2008,3.6,81.9645,4.4,4.6,26,39.6,10.8
3/1/2008,3.6,82.0725,4,3.7,34.7,56.7,9.5
4/1/2008,3.8,82.5834,4.2,3.8,35.1,57.7,8.7
5/1/2008,3.4,82.7775,4.3,3.1,45.6,76.7,9.9
6/1/2008,3.2,83.1129,4.3,2.3,53.8,90.2,11.8
7/1/2008,3.1,83.3536,3.9,2.3,52,84.8,13.5
8/1/2008,2.6,83.3932,3.4,2.7,35.8,54.3,13.5
9/1/2008,3.1,83.8671,3.8,2.1,21.2,33.2,6.4
10/1/2008,3.3,84.1259,3.8,2.8,-8.8,-7.3,-9.3
11/1/2008,3.8,84.5391,4.4,2.9,-25.2,-30.4,-14.6
12/1/2008,4,84.8471,4.8,3.9,-36.5,-44.6,-19
1/1/2009,4.5,85.1236,5,3.9,-38.4,-47.5,-19.3
2/1/2009,3.9,85.1309,4.2,3.6,-44.4,-53.3,-26.2
3/1/2009,4.1,85.3966,4.7,3.2,-43.6,-52.1,-25.8
4/1/2009,3.6,85.5521,4.3,3.4,-46.1,-55.3,-26.2
5/1/2009,3.6,85.7239,3.5,3.6,-45,-53.8,-25.6
6/1/2009,3.1,85.6509,3.2,3.7,-44.2,-52.9,-24.3
7/1/2009,2.8,85.7158,3.3,3.1,-46.2,-55.3,-25.6
8/1/2009,3.1,85.9406,3.4,2.6,-35.3,-42,-21
9/1/2009,2.8,86.1882,3.2,4.2,-32.1,-38.4,-18.7
10/1/2009,2.7,86.4299,3.5,3.5,-7,-7.6,-3.6
11/1/2009,1.9,86.1309,2.3,3.1,10.4,14.1,6.4
12/1/2009,2.1,86.6465,2.4,3,39.2,56.5,16.4
1/1/2010,2,86.8253,2.2,2.7,42.1,64.6,14.6
2/1/2010,2,86.8496,2.7,3.1,45.5,70.3,15.5
3/1/2010,2,87.1153,2.5,2.7,37,50.9,18.7
4/1/2010,1.9,87.1837,2.2,2.5,39.1,52.8,21.1
5/1/2010,1.7,87.1882,2.3,3,18.1,20.7,14.2
6/1/2010,2.2,87.5733,2.3,3.1,10.3,12.3,7.4
7/1/2010,2.4,87.738,2.2,3.1,17.2,21.7,10.8
8/1/2010,2.2,87.8334,1.8,4.3,11.5,10.9,12.3
9/1/2010,2,87.928,1.5,3.7,13.7,10,18.9
10/1/2010,1.9,88.1057,1.1,2.9,10.7,4.7,19.7
11/1/2010,2.8,88.5522,2.3,3,12,8.3,17.4
12/1/2010,2,88.3882,1.6,2.2,12.3,7.2,20
1/1/2011,1.9,88.5113,1.8,3.6,10.1,2.2,22.4
2/1/2011,2.2,88.7453,2.1,2.4,13.9,5.1,27.8
3/1/2011,2.1,88.9815,2.1,2.7,21.9,21.2,23.1
4/1/2011,1.9,88.855,2.3,2.9,25.5,29.8,19.6
5/1/2011,2.2,89.0957,2.2,2.6,27,32.2,19.9
6/1/2011,1.8,89.1837,2.2,2.4,23.1,21.4,25.6
7/1/2011,2,89.4944,1.9,2.5,25.6,23.2,29.1
8/1/2011,2,89.5627,2.4,1.9,18.9,16.4,22.5
9/1/2011,2,89.7006,2.1,0.6,20,22.3,16.7
10/1/2011,2.1,89.9883,2.4,2.5,10.8,12.2,8.8
11/1/2011,1.9,90.1973,2.1,2.1,11.9,15.7,6.9
12/1/2011,2.3,90.4202,2.5,2.7,5.9,8.6,2.1
1/1/2012,2.3,90.5774,2.2,1.8,2.4,2.8,1.7
2/1/2012,2.4,90.8484,2,1.7,1.2,1.3,0.5
3/1/2012,2,90.7931,1.8,2.3,-5.2,-9.9,1.3
4/1/2012,2.4,90.9918,2,2.3,-10,-16.4,-0.6
5/1/2012,2.3,91.1178,2.6,2,-8.4,-14.3,0.1
6/1/2012,2.4,91.3514,2.9,1.9,-15.2,-24.1,-1.8
7/1/2012,2,91.286,3.1,3.1,-14,-17.8,-9
8/1/2012,2.2,91.5768,3.4,2.7,-2.3,-1.7,-3.4
9/1/2012,2.1,91.5487,3.2,3.1,0.8,0.9,0.3
10/1/2012,1.8,91.6419,3.1,1.6,-0.2,-4.2,5.2
11/1/2012,1.6,91.6776,2.6,1.9,-8.7,-17.4,4.4
12/1/2012,1.6,91.9102,2.3,2.1,-8.2,-17.8,6.3
1/1/2013,1.6,92.0635,2.4,1.4,-6,-10.4,-0.1
2/1/2013,1.7,92.3479,2.4,2.7,-2.9,-3.3,-2.7
3/1/2013,2,92.5657,2.8,1.7,-4,-3.5,-5
4/1/2013,2.1,92.9337,3.1,1.6,-3.5,-2,-6.1
5/1/2013,2.1,93.0067,2.6,2.3,-1,2.5,-6
6/1/2013,1.5,92.713,1.7,2.5,10.1,23.6,-6.2
7/1/2013,1.9,93.0654,1.9,0.7,9.8,20.7,-4.3
8/1/2013,1.8,93.2609,1.4,1.6,2,9.3,-8
9/1/2013,2.1,93.4341,1.7,1.2,-1.6,4.7,-10.4
10/1/2013,2,93.5175,1.7,2.3,-2.8,3.4,-11.1
11/1/2013,2.4,93.8695,2.5,2.9,-3.1,3.1,-11.1
12/1/2013,2.2,93.9713,2.4,1.8,2,14.9,-13.7
1/1/2014,1.8,93.7574,2,2.4,1.8,11.2,-10
2/1/2014,1.8,94.014,2,1.2,2.7,13.7,-11.6
3/1/2014,1.9,94.2858,1.6,2,1.9,8.8,-7.2
4/1/2014,1.6,94.4188,1.1,2.6,3.3,8.6,-4
5/1/2014,1.5,94.3939,1.2,2.3,4.2,8.7,-2.1
6/1/2014,2.1,94.6276,1.8,2.3,5.1,8.8,-0.3
7/1/2014,1.8,94.7669,1.5,3.5,-0.5,-2.8,3.1
8/1/2014,2,95.1268,1.9,2.9,-3.5,-6.6,1.5
9/1/2014,2.3,95.578,2.4,3,-3.9,-6.4,0.1
10/1/2014,2,95.3799,1.9,2.4,-5.6,-8.3,-0.5
11/1/2014,1.8,95.5249,1.6,1.5,-6.7,-9.7,-0.4
12/1/2014,1.8,95.6177,1.8,2.1,-24.9,-37.1,0.3
1/1/2015,2.2,95.8583,2.2,2.4,-35,-50,-3.5
2/1/2015,2.1,95.9669,1.9,3.4,-36.2,-50.2,-4.6
3/1/2015,1.9,96.0665,1.9,3.2,-38.2,-52,-8.3
4/1/2015,2,96.3522,2.5,2.2,-35.5,-46.4,-10.1
5/1/2015,2.4,96.6461,2.8,1.4,-31.4,-39.8,-9.3
6/1/2015,2.4,96.858,3,1.9,-32.4,-41.3,-9.1
7/1/2015,2.6,97.2036,3.6,1,-37.3,-48.3,-13.1
8/1/2015,2,97.0297,3.1,1.1,-42.9,-56,-16.4
9/1/2015,1.8,97.2665,2.6,1.3,-40.3,-51.5,-16.5
10/1/2015,2.2,97.445,3,1.5,-36.6,-47.3,-15
11/1/2015,2.1,97.4903,3.2,1.5,-36.1,-46.3,-17.4
12/1/2015,2.1,97.6715,3,1.2,-30.6,-39.6,-18.8
1/1/2016,1.9,97.7054,3,0.9,-26.5,-35.6,-17.5
2/1/2016,2,97.875,3.2,-0.2,-28.6,-42.8,-13.3
3/1/2016,2.2,98.1421,3.3,1.2,-16.2,-23.7,-9.1
4/1/2016,2.2,98.4873,2.8,0.5,-17.5,-27,-7.7
5/1/2016,1.3,97.9208,2,1.7,-16.5,-24.8,-7.6
6/1/2016,1.2,98.0326,1.6,0.7,-14,-19.7,-7.7
7/1/2016,1.1,98.2989,1.4,1.8,-8.5,-12,-4.9
8/1/2016,1.4,98.3824,1.6,2.2,2.6,7.4,-1.3
9/1/2016,1.4,98.6108,1.5,1.2,-0.5,0.5,-0.9
10/1/2016,1.4,98.7621,1.5,1.5,4.1,12.5,-2.1
11/1/2016,1.5,98.987,1.4,1.8,5.5,10.2,2
12/1/2016,1.4,99.0628,1.4,2.6,22.9,47.3,5.2
1/1/2017,1.2,98.8929,1.1,2.1,36,78.5,8.2
2/1/2017,1.2,99.0751,1.2,3.2,40.9,88,11.3
3/1/2017,1.1,99.2583,1.1,1.6,19.5,41.3,5
4/1/2017,0.7,99.1826,0.8,3,19.1,38.6,5.5
5/1/2017,1.6,99.4588,1.3,1.7,8.5,14.9,4.5
6/1/2017,1.7,99.7367,1.6,2.4,2,-0.7,6.4
7/1/2017,1.7,99.9363,1.5,1.4,9,12,8.5
8/1/2017,2.2,100.538,2,1.2,11.9,15.6,10.7
9/1/2017,2.1,100.664,2.1,3.3,13.8,15.9,13.7
10/1/2017,2.1,100.862,1.9,1.9,11,7.7,15.4
11/1/2017,2,100.982,2,2.2,20.6,27.1,16.5
12/1/2017,2.4,101.413,2.4,1.8,8.3,3.3,14.1
1/1/2018,3.2,102.03,3.1,2.8,12.2,8,16.5
2/1/2018,3.3,102.373,2.9,2.7,6.4,1.9,11.4
3/1/2018,3.3,102.582,2.8,2.4,13.3,13.2,13.4
4/1/2018,3.7,102.843,3.1,2.3,16.7,18.1,14.9
5/1/2018,3.8,103.255,3.3,2.2,23.4,30.4,16
6/1/2018,3.8,103.531,3.2,2.7,23.3,34.3,12.7
7/1/2018,3.9,103.823,2.9,2.5,18.9,32.4,5.9
8/1/2018,3.3,103.841,2.2,3.1,10.7,20.4,1.2
9/1/2018,3.3,103.969,2.4,2,9,19.3,-1.3
10/1/2018,3.4,104.325,2.6,3,0.4,3.9,-3.1
11/1/2018,3.6,104.635,2.5,2.6,-14.7,-22.2,-5.8
12/1/2018,3.4,104.868,2.4,2.9,-7.6,-9.4,-5.4
1/1/2019,3.2,105.247,2,2.1,-7.6,-7.6,-7.4
2/1/2019,2.9,105.379,2.1,1.4,-1.6,2.4,-5.6
3/1/2019,2.9,105.566,2.1,2.1,-0.3,4.8,-5.6
4/1/2019,2.8,105.699,2.3,2.3,-3.3,2.3,-8.9
5/1/2019,2.5,105.868,2.3,4.2,-11.6,-10.7,-12.3
6/1/2019,2.6,106.245,3.1,2.9,-12.6,-15.2,-9.4
7/1/2019,2.4,106.265,3.2,3.5,-9.3,-12.6,-5.3
8/1/2019,2.5,106.484,3.3,2.5,-6.4,-10.2,-1.8
9/1/2019,2.9,107.028,3.3,2.5,-4.1,-7.3,-0.3
10/1/2019,2.5,106.96,3.1,3.3,-2.4,-5.4,1.1
11/1/2019,2.6,107.313,3.2,2.9,11.9,21.2,2.5
12/1/2019,2.4,107.366,2.9,2.9,8.8,13.7,3.7
1/1/2020,2.3,107.655,2.9,2.2,0.1,-4.4,3.8
2/1/2020,2.5,107.969,3.3,3.1,-7.9,-16.6,-0.4
3/1/2020,2.6,108.291,6.3,4.2,-32.6,-54.7,-5.5
4/1/2020,3.1,108.972,10.5,6.3,-50.2,-76.9,-7.6
5/1/2020,3.3,109.32,10.1,5.5,-26.2,-49.3,-1.7
6/1/2020,3.1,109.58,7.2,5.4,-13,-28.4,-1.2
7/1/2020,3.2,109.697,6.5,5.2,-10,-27.5,4.7
8/1/2020,3.2,109.858,6.3,5.2,-2.2,-21.2,13.1
9/1/2020,2.6,109.829,5,4.7,-5.4,-28.3,15.4
10/1/2020,3.1,110.222,5.6,3.8,-2.2,-20.8,11.9
11/1/2020,2.6,110.083,5.2,4.6,-0.6,-19,13.6
12/1/2020,2.7,110.297,5.4,4.3,4.6,-14.8,20
1/1/2021,2.7,110.544,6.3,5.9,16,4.1,21.7
2/1/2021,2.7,110.908,5.4,5.5,34.7,33.2,29.5
3/1/2021,2.6,111.115,2.2,3.2,83.5,137.8,40
4/1/2021,2,111.168,-1.3,0.4,146.8,324.8,56.6
5/1/2021,1.8,111.319,-1.4,0.5,87.4,119.9,63.7
6/1/2021,1.7,111.48,0.1,1.1,69.6,89.3,50.9
7/1/2021,2,111.868,1.3,1.4,59.7,84.8,36.6
8/1/2021,2.1,112.127,1.8,2.2,44.9,69.3,23.5
9/1/2021,2.6,112.651,2.7,2.4,53.9,91.9,23.6
10/1/2021,2.5,112.946,2,2.4,70.2,116.9,32.6
11/1/2021,2.8,113.15,2.7,2.2,61.4,97.8,30.7
12/1/2021,3.2,113.856,3.3,2,43.9,55.3,32.8
1/1/2022,3.2,114.109,2.8,2.3,49.1,64,32.9
2/1/2022,3.1,114.291,2.8,2.6,46,58.6,30.5
3/1/2022,3.1,114.6,3.2,4.6,59.9,77.9,37.9
4/1/2022,3.7,115.237,3.3,4.6,53.5,78.3,26.4
5/1/2022,3.8,115.573,3.6,3.7,49,86.3,11.6
6/1/2022,4.1,116.041,5,4.2,42.7,70.1,11.5
7/1/2022,4.1,116.432,4.3,3.4,28.4,43.1,9
8/1/2022,4.4,117.044,4.8,3.2,29.4,44.3,10
9/1/2022,4.1,117.259,4.9,3.6,13.3,20.6,1.9
10/1/2022,4.3,117.805,5.3,4.3,0.9,2.2,-4.2
11/1/2022,4.8,118.59,5.7,4.2,0.9,2.8,-4.3
12/1/2022,4.3,118.756,4.7,4.5,-1.1,8.5,-12.2
1/1/2023,4.4,119.142,4.5,3.9,-13.6,-13.4,-14.1
2/1/2023,4.7,119.678,5.4,3.4,-21.6,-24.6,-17.4
3/1/2023,4.9,120.21,5.4,2.5,-32,-36.7,-25.3
4/1/2023,4.5,120.453,5.2,3.8,-29.2,-32.2,-24.9
5/1/2023,4.4,120.68,5.1,3.9,-35.4,-42.7,-24.2
6/1/2023,4,120.665,4.2,3.7,-33.8,-42.4,-20.1
7/1/2023,4.3,121.4,5,4.3,-23.2,-29.5,-13.5
8/1/2023,4,121.784,4.8,3.8,-19.7,-23.4,-14
9/1/2023,4.4,122.367,5.1,3.5,-9.5,-8.4,-10.6
10/1/2023,4,122.569,4.8,2.9,-10.3,-9.5,-10.9
11/1/2023,3.8,123.07,4.8,3.3,-14,-16,-11.1
12/1/2023,4,123.472,5.4,2.5,-10.8,-11.3,-10.2
1/1/2024,3.9,123.805,5.2,2.7,-7.7,-4.6,-11.5
2/1/2024,3.6,124.014,5,3.1,-7.3,-3.9,-11.5
3/1/2024,3.4,124.356,5.1,3.5,0.1,5,-6
4/1/2024,3.5,124.728,4.7,2.8,0.5,3.9,-3.6
5/1/2024,3.9,125.369,5.1,3.5,6.1,10,1.2
6/1/2024,4.3,125.804,5.4,3.7,5.5,10.5,-0.6
7/1/2024,4.1,126.361,5.2,4.2,-0.5,2,-3.6
8/1/2024,4.1,126.768,5,4.8,-5.2,-7.8,-1.8
9/1/2024,3.9,127.091,4.6,5.1,-11,-19.4,1.1
10/1/2024,4.3,127.809,4.9,5.9,-4.5,-12.1,6.2
11/1/2024,3.8,127.798,4.2,5,1.3,-2,5.7
12/1/2024,3.6,127.935,4,6,5,4.4,5.8
1/1/2025,3.5,128.166,3.6,6,8.2,8.3,8.2
2/1/2025,3.8,128.678,3.8,5,7.9,4.9,11.9
3/1/2025,3.6,128.869,3.5,4.1,2.3,-3,9.6
4/1/2025,3.5,129.146,3.5,4.4,-5.9,-15.5,8.2
5/1/2025,3.2,129.404,3.4,,-5.9,-15.7,8.5
6/1/2025,3.1,129.7,3.2,,-0.1,-8.7,12.4
